2025-09-17 23:46:39 | ERROR | ERROR | PROJECT_DELETE_FAILED: Project ID: 10, Error: Project not found
2025-09-17 23:48:34 | ERROR | ERROR | PROJECT_DELETE_FAILED: Project ID: 10, Error: Project not found
2025-09-17 23:50:20 | ERROR | ERROR | PROJECT_DELETE_FAILED: Project ID: 10, Error: Project not found
2025-09-17 23:54:34 | ERROR | ERROR | PROJECT_DELETE_FAILED: Project ID: 10, Error: Project not found
2025-09-17 23:55:23 | ERROR | ERROR | PROJECT_DELETE_FAILED: Project ID: 10, Error: Project not found
2025-09-17 23:58:06 | ERROR | ERROR | PROJECT_DELETE_FAILED: Project ID: 10, Error: Project not found
2025-09-18 00:00:43 | ERROR | ERROR | PROJECT_DELETE_FAILED: Project ID: 10, Error: Project not found
2025-09-18 00:01:20 | ERROR | ERROR | Database deletion error: ('23000', '[23000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The DELETE statement conflicted with the REFERENCE constraint "FK__msi_confi__compo__45BE5BA9". The conflict occurred in database "MSIFactory", table "dbo.msi_configurations", column \'component_id\'. (547) (SQLExecDirectW); [23000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The statement has been terminated. (3621)')
2025-09-18 00:01:20 | ERROR | ERROR | PROJECT_DELETE_FAILED: Project ID: 10, Error: Project not found
2025-09-18 00:04:00 | ERROR | ERROR | Failed to delete project 10: ('23000', '[23000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The DELETE statement conflicted with the REFERENCE constraint "FK__msi_confi__compo__45BE5BA9". The conflict occurred in database "MSIFactory", table "dbo.msi_configurations", column \'component_id\'. (547) (SQLExecDirectW); [23000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The statement has been terminated. (3621)')
2025-09-18 00:04:00 | ERROR | ERROR | Database deletion failed: Failed to delete project: ('23000', '[23000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The DELETE statement conflicted with the REFERENCE constraint "FK__msi_confi__compo__45BE5BA9". The conflict occurred in database "MSIFactory", table "dbo.msi_configurations", column \'component_id\'. (547) (SQLExecDirectW); [23000] [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]The statement has been terminated. (3621)')
